"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Anthony Gill","Was","F","31.5","47","8.4","18","14.7","31","0.774","101","0.545","32","0.25","0.504","0.539","3.4","1.7","0.6","0.3","0.2","0.5","5.1","3.9","5.6","7.2","106.6","113"
"","Patrick Baldwin","Was","F","21.4","35","10.9","16.4","11.7","25","0.68","46","0.413","75","0.28","0.417","0.447","3.4","2.8","0.6","0.4","0.4","0.5","6.2","4","6.8","6.6","91.9","107.9"
"","Wenyen Gabriel","Mem","F","27","5","16.2","17.1","26.7","5","0","16","0.438","6","0.167","0.386","0.351","3.4","5","0.6","0.4","0.4","1.6","8.4","4","9","5.4","67.5","102.7"
"","Dwight Powell","Dal","F-C","32.7","61","12.9","9.3","22.8","89","0.708","99","0.687","2","0.5","0.688","0.721","3.3","3.2","1.3","0.4","0.3","0.5","6.5","4.6","7.8","7.4","147","104.3"
"","Vasilije Micic","Okc","G","30.2","30","12","15.4","24.1","19","0.737","46","0.565","45","0.244","0.467","0.498","3.3","0.8","2.5","0.3","0.1","1","4.1","5.8","6.6","6.3","102.1","114.3"
"","Charles Bassey","San","C-F","23.4","19","10.8","11.8","27.1","6","0.833","39","0.744","1","0","0.725","0.739","3.3","4","1.1","0.4","0.9","0.8","7.3","4.4","8.4","9","125","101"
"","Sandro Mamukelashvili","San","F-C","24.9","42","8.2","16.5","8.1","26","0.769","66","0.636","47","0.255","0.531","0.563","3.3","2.4","1","0.2","0.2","0.2","5.7","4.3","6.6","9.7","124.4","110.7"
"","Oscar Tshiebwe","Ind","F-C","24.4","8","5.2","23.6","0","8","0.75","20","0.5","0","0","0.5","0.553","3.3","2","0.3","0.3","0.1","0","5.3","3.5","5.5","9.7","131.3","112.8"
"","Ish Smith","Cha","G","35.8","43","17.2","12.3","22.9","4","0.75","150","0.413","8","0.5","0.43","0.435","3.2","1.8","3.4","0.4","0.1","1.1","5","6.6","8.4","6.3","97.3","117.9"
"","Tristan Thompson","Cle","C-F","33.1","48","11.2","13.4","20.5","50","0.3","111","0.631","1","0","0.625","0.578","3.2","3.6","1.1","0.3","0.3","0.6","6.8","4.3","7.9","8.3","119.1","103.3"
"","Jalen McDaniels","Tor","F-C","26.2","47","10.3","18.7","14","29","0.724","105","0.467","67","0.164","0.381","0.411","3.2","1.6","0.7","0.4","0.1","0.6","4.8","4","5.6","5.9","85.1","112.3"
"","Zeke Nnaji","Den","F-C","23.2","54","9.9","15.6","16.2","59","0.712","117","0.487","22","0.273","0.475","0.527","3.2","2.1","0.6","0.3","0.7","0.5","5.4","3.8","5.9","6.4","111.7","102.8"
"","Gui Santos","Gol","F","21.8","21","7.9","14.6","13.6","15","0.933","22","0.591","22","0.409","0.602","0.662","3.2","2.1","0.6","0.1","0.1","0.3","5.3","3.8","5.9","8.1","132.7","105.6"
"","A.J. Lawson","Dal","G","23.7","38","6.8","19.7","9.1","21","0.619","57","0.596","43","0.302","0.535","0.549","3.2","1","0.4","0.3","0.1","0.3","4.1","3.6","4.5","6.4","110.3","111.5"
"","Jules Bernard","Was","G","24.2","17","6.9","21","7.2","8","0.5","26","0.462","25","0.36","0.5","0.504","3.2","1","0.8","0.1","0.1","0.2","4.2","4","5","7.9","107.3","115.1"
"","Dylan Windler","Atl","G-F","27.5","5","9.4","11.5","7.7","0","0","2","1","10","0.4","0.667","0.667","3.2","1.8","0.4","0.4","0","0.2","5","3.6","5.4","5.6","128.7","116.6"
"","Wesley Matthews","Atl","G","37.5","35","11.7","11.7","7.6","22","0.727","28","0.357","69","0.348","0.474","0.506","3.1","1.5","0.6","0.4","0.3","0.2","4.6","3.7","5.2","4.8","110.8","111.8"
"","Svi Mykhailiuk","Bos","G-F","26.8","37","8.7","15.8","8.8","7","0.571","20","0.5","84","0.357","0.529","0.532","3.1","1.1","0.7","0.3","0","0.3","4.2","3.8","4.9","6.1","112.5","111.4"
"","Saben Lee","Pho","G","24.8","22","8.1","19.1","12.8","39","0.744","38","0.447","16","0.125","0.37","0.485","3.1","1.4","1.4","0.3","0.1","0.4","4.5","4.5","5.9","9","114","110.6"
"","Trevelin Queen","Orl","G","27.1","13","12.5","13.5","15.4","12","0.75","21","0.524","17","0.176","0.408","0.462","3.1","1.5","1.4","0.5","0.4","0.5","4.5","4.5","5.9","6","101.2","105"
"","Lindy Waters III","Okc","F","26.7","35","7.1","16.7","6.3","2","1","18","0.667","71","0.394","0.607","0.612","3.1","1.1","0.6","0.1","0.2","0.2","4.2","3.7","4.8","7.2","123","110"
"","Jeremiah Robinson-Earl","Nor","F","23.4","35","9.2","15","14.4","15","0.8","52","0.577","37","0.324","0.539","0.565","3.1","2.1","0.6","0.3","0.1","0.4","5.2","3.7","5.8","6.8","113.1","107.8"
"","Garrett Temple","Tor","G-F","37.9","24","9.2","14.9","14","14","0.786","30","0.5","31","0.323","0.492","0.529","3","1.4","0.7","0.4","0.1","0.4","4.4","3.7","5.1","6.2","107.3","110.8"
"","Robert Covington","Lac","F","33.3","3","23.1","6.3","0","2","0.5","1","1","8","0.25","0.444","0.455","3","2.7","2.3","2","0.7","0","5.7","5.3","8","4.6","130.4","106.5"
"","Orlando Robinson","Mia","C","23.7","33","9.1","15","19.9","25","0.76","57","0.491","15","0.533","0.556","0.596","3","2.5","1","0.2","0.2","0.5","5.5","4","6.6","8.6","119.9","101.6"
"","Drew Peterson","Bos","F","24.4","1","2.6","16.8","0","0","0","0","0","1","1","1.5","1.5","3","0","1","0","0","0","3","4","4","0","0","0"
"","Marques Bolden","Cha","C","26","5","10.3","9.3","9.8","2","0.5","9","0.778","0","0","0.778","0.759","3","3.4","0","0.2","0.2","0.2","6.4","3","6.4","0","141.6","109.7"
"","Davis Bertans","Okc","F","31.4","15","6.1","16","3.6","15","0.933","2","0","24","0.417","0.577","0.675","2.9","0.7","0.6","0.2","0.2","0.1","3.6","3.5","4.2","7","146.4","107.5"
"","Moses Brown","Por","C","24.5","20","8.5","18","13.1","25","0.24","53","0.491","0","0","0.491","0.453","2.9","3.5","0.4","0.2","0.4","0.4","6.4","3.3","6.8","7.5","100.4","104.3"
"","Luka Samanic","Uta","F","24.2","39","7.2","20.6","13.1","36","0.778","60","0.45","46","0.239","0.41","0.472","2.9","1.9","0.3","0.1","0.2","0.4","4.9","3.2","5.1","6.6","95.7","112.7"
"","Kira Lewis Jr.","Nor","G","23","15","9.6","19.6","13.2","11","0.909","32","0.438","20","0.1","0.327","0.387","2.9","0.9","1.2","0.3","0.1","0.5","3.9","4.1","5.1","6.1","89","112.3"
"","Ish Wainright","Por","F","29.6","7","6.6","18.5","5.1","2","1","2","0","16","0.375","0.5","0.53","2.9","1.3","0","0.3","0.1","0.1","4.1","2.9","4.1","0","106","109.4"
"","Micah Potter","Uta","C","26","14","11.2","10.1","11.3","6","1","14","0.5","17","0.412","0.565","0.609","2.9","2.4","0.4","0.3","0.3","0.3","5.4","3.3","5.7","5","123","117.8"
"","Kira Lewis Jr.","Uta","G","23","11","8.3","16.7","15","8","0.75","17","0.588","11","0.182","0.464","0.508","2.9","0.8","1.5","0.3","0.1","0.5","3.7","4.4","5.2","7.3","112.8","122.5"
"","Damian Jones","Cle","C","28.8","37","6.9","15.5","16","21","0.857","56","0.696","12","0.167","0.618","0.66","2.8","1.7","0.4","0.2","0.4","0.4","4.4","3.2","4.8","7.2","124.6","104.6"
"","Lamar Stevens","Bos","F","26.7","19","6.4","21","16.6","11","0.727","37","0.486","8","0.375","0.5","0.532","2.8","1.6","0.4","0.3","0.3","0.5","4.4","3.2","4.8","7.6","106.6","100.8"
"","Cole Swider","Mia","F","24.9","15","5.5","24.2","18","2","1","8","0.625","28","0.357","0.556","0.569","2.8","0.5","0.3","0.1","0.1","0.5","3.3","3.1","3.5","5.4","93","115.8"
"","D.J. Carton","Tor","G","23.7","4","8.9","13.5","10.7","5","0.8","4","0.5","4","0.25","0.438","0.539","2.8","1","0.8","0.3","0","0.3","3.8","3.5","4.5","5.9","119.8","115.4"
"","Nicolas Batum","Lac","G-F","35.3","3","18","7.3","11.1","0","0","1","1","7","0.286","0.5","0.5","2.7","2.3","1.7","1","1.3","0.3","5","4.3","6.7","4.9","112.6","107.9"
"","Patty Mills","Atl","G","35.7","19","10.6","12.2","13.6","0","0","17","0.353","34","0.382","0.5","0.5","2.7","1.1","0.7","0.5","0.1","0.4","3.7","3.4","4.5","4.8","101.8","114.6"
"","JT Thor","Cha","F","21.6","59","11.9","11.6","7.9","16","0.563","91","0.462","71","0.324","0.472","0.479","2.7","2.1","0.4","0.2","0.4","0.2","4.9","3.2","5.3","4.4","104","116.1"
"","Alex Len","Sac","C","30.8","44","9.2","12.2","23.5","30","0.6","75","0.64","3","0","0.615","0.625","2.6","2.8","1","0.3","0.7","0.5","5.3","3.6","6.3","8.4","122.7","102.6"
"","Otto Porter Jr.","Tor","F","30.8","15","11.6","8.9","5.6","3","1","10","0.6","23","0.348","0.545","0.568","2.6","1.9","0.5","0.3","0.3","0.1","4.5","3.1","5.1","4.7","122","110.4"
"","Johnny Davis","Was","G","22.1","47","11.5","11.8","5.5","17","0.588","103","0.408","34","0.265","0.405","0.419","2.6","1.4","0.6","0.3","0.2","0.2","4","3.2","4.6","4.5","94.8","116.1"
"","Dalen Terry","Chi","F","21.7","55","10.8","12.7","17.2","34","0.618","64","0.609","66","0.212","0.462","0.486","2.6","1.8","1.3","0.4","0.2","0.5","4.3","3.9","5.6","6.8","105.8","106.8"
"","Moussa Diabate","Lac","F","22.2","11","5.8","18.6","9.4","14","0.643","19","0.526","0","0","0.526","0.576","2.6","2.3","0.4","0.5","0.1","0.2","4.9","3","5.3","9.2","136.2","109.7"
"","Kenneth Lofton Jr.","Mem","F","21.7","15","6.6","21.6","13.9","15","0.533","27","0.407","10","0.3","0.419","0.447","2.6","1","0.9","0.2","0.2","0.4","3.6","3.5","4.5","8","95.3","101.9"
"","Emoni Bates","Cle","F","20.2","13","7.8","17.7","5.1","4","0.25","9","0.333","28","0.321","0.446","0.439","2.6","0.8","0.5","0.1","0.2","0.2","3.5","3.2","4","5.2","94.3","113.6"
"","Yuta Watanabe","Mem","G-F","29.5","5","16.4","12","13.6","2","0","9","0.556","10","0.1","0.342","0.327","2.6","1.8","1","0.6","0","0.6","4.4","3.6","5.4","4.1","69.5","112.5"
"","Thaddeus Young","Pho","F","35.8","7","8.5","13.7","11.1","2","0","16","0.563","0","0","0.563","0.533","2.6","3.3","0.7","0.4","0.3","0.3","5.9","3.3","6.6","8.6","128","107.4"
"","Markieff Morris","Dal","F","34.6","22","7.9","16.3","15.5","4","0.75","20","0.35","34","0.382","0.491","0.502","2.5","1.4","0.5","0.2","0","0.5","4","3.1","4.5","6.1","96.1","111.9"
"","Boban Marjanovic","Hou","C","35.6","13","4.5","24.5","10.2","11","0.727","24","0.5","2","0","0.462","0.519","2.5","1.8","0.4","0","0.1","0.2","4.3","2.8","4.7","10.8","112.4","105.7"
"","Furkan Korkmaz","Phi","G-F","26.7","35","8.6","13.7","11.6","20","0.7","36","0.444","40","0.35","0.487","0.519","2.5","0.9","0.7","0.4","0.1","0.3","3.4","3.2","4.1","5.4","107.9","113.3"
"","Greg Brown III","Dal","F","22.6","6","6.6","20.4","26.3","9","0.444","8","0.5","3","0.333","0.5","0.501","2.5","1.5","0.7","0","0.7","0.7","4","3.2","4.7","8.4","96.2","106.7"
"","Nate Williams","Hou","G","25.2","20","5.4","18.8","4.6","10","0.7","37","0.541","4","0.25","0.524","0.551","2.5","1","0.4","0.2","0","0.1","3.5","2.9","3.9","7.4","122.1","109.1"
"","Tosan Evbuomwan","Mem","F","23.1","4","18.5","9.3","6.3","0","0","7","0.286","8","0.25","0.333","0.333","2.5","3.5","1.5","0","0.3","0.3","6","4","7.5","5.1","103.2","114.8"
"","Cory Joseph","Gol","G","32.6","26","11.4","11.2","15.7","7","0.571","22","0.455","42","0.31","0.461","0.47","2.4","1.2","1.6","0.2","0.1","0.5","3.6","4","5.2","5.8","107.9","112.7"
"","Reggie Bullock Jr.","Hou","G-F","33.1","40","9.8","9.8","10.1","1","1","15","0.467","65","0.415","0.594","0.597","2.4","1.7","0.4","0.3","0.1","0.2","4.1","2.8","4.5","4.8","114.7","109.4"
"","Joe Harris","Det","G-F","32.6","16","10.6","11","9.3","2","0.5","9","0.444","30","0.333","0.487","0.489","2.4","0.8","0.6","0.2","0.1","0.3","3.3","3.1","3.9","4","102.5","113.1"
"","Chuma Okeke","Orl","F","25.6","44","9.6","13.3","12","7","0.571","29","0.552","81","0.284","0.459","0.464","2.4","1.8","0.4","0.2","0.2","0.3","4.2","2.8","4.6","5","97.2","110.4"
"","Nate Hinton","Hou","G-F","24.8","13","4.6","20.1","11.4","5","0.8","11","0.273","12","0.583","0.587","0.615","2.4","1.3","0.5","0.2","0.2","0.2","3.7","2.8","4.2","10.1","125.5","97.5"
"","Olivier Sarr","Okc","C","25.1","14","6.8","13.1","13.5","15","0.667","13","0.692","6","0.333","0.632","0.664","2.4","2.5","0.1","0","0.5","0.2","4.9","2.6","5.1","5","135","94.3"
"","Dalano Banton","Bos","F","24.4","24","7.1","17.8","16.3","20","0.8","35","0.486","16","0.125","0.392","0.468","2.3","1.5","0.8","0.2","0.1","0.4","3.8","3.1","4.6","7.9","105.5","102.5"
"","Dereon Seabron","Nor","G","23.9","6","9.2","12.3","0","6","0.833","11","0.273","2","0.5","0.346","0.448","2.3","1.2","0.8","0.3","0.2","0","3.5","3.2","4.3","5.7","114.9","109.2"
"","Andre Jackson Jr.","Mil","G","22.4","53","10.2","9.8","20.1","11","0.727","52","0.615","43","0.372","0.589","0.601","2.3","2","0.9","0.3","0.1","0.5","4.3","3.2","5.2","6.3","122.5","102.4"
"","Olivier-Maxence Prosper","Dal","F","21.8","36","7.3","15.4","6.2","34","0.676","41","0.439","34","0.235","0.4","0.461","2.3","1.8","0.6","0.1","0.1","0.1","4.1","2.9","4.6","7.4","111.6","112"
"","Leaky Black","Cha","F","24.8","23","10.1","9.9","10.8","14","0.643","26","0.462","15","0.467","0.549","0.573","2.3","1.7","0.8","0.2","0.3","0.2","4","3.2","4.9","5.8","122.2","116.3"
"","Mouhamadou Gueye","Tor","F","25.8","10","9.7","20.5","27.8","8","0.375","28","0.357","3","0","0.323","0.333","2.3","1.9","0.4","0.2","1.5","1.2","4.2","2.7","4.6","5","67.6","111.6"
"","Danilo Gallinari","Mil","F","35.7","16","8.5","13.2","19.2","13","0.846","14","0.571","15","0.2","0.431","0.518","2.3","0.9","0.8","0.3","0.1","0.4","3.1","3","3.9","5.6","106.6","109.5"
"","Udoka Azubuike","Pho","C-F","24.6","16","7.1","12.6","14.8","13","0.231","23","0.696","0","0","0.696","0.609","2.2","2","0.2","0.1","0.4","0.3","4.2","2.4","4.4","5.4","117.4","101.9"
"","Julian Phillips","Chi","F","20.4","40","8.1","13","11.5","19","0.684","39","0.513","38","0.316","0.494","0.521","2.2","0.9","0.3","0.2","0.2","0.3","3.1","2.6","3.5","4.2","106.4","108.4"
"","Malachi Flynn","Nyk","G","25.9","14","4.3","22","11.4","11","0.818","10","0.5","13","0.308","0.478","0.557","2.2","0.4","0.4","0.1","0","0.2","2.6","2.6","3.1","6.6","116","112.8"
"","Trent Forrest","Atl","G","25.8","36","10.8","11.8","17.4","16","0.813","75","0.387","10","0.2","0.376","0.418","2.1","1.3","2.4","0.3","0.1","0.5","3.4","4.5","5.8","6.9","108.7","117.3"
"","AJ Griffin","Atl","F","20.6","18","7.4","16.3","11.7","2","1","12","0.333","33","0.273","0.389","0.403","2.1","0.8","0.2","0.1","0.1","0.3","2.8","2.3","3.1","3.8","81.5","120.6"
"","P.J. Tucker","Phi","F","38.9","3","22.1","4.6","28.6","0","0","0","0","5","0.4","0.6","0.6","2","4.7","0","1","0.7","0.7","6.7","2","6.7","0","87.1","101"
"","Daniel Theis","Ind","F-C","32","1","8.4","20","0","0","0","3","0.333","1","0","0.25","0.25","2","0","0","0","0","0","2","2","2","0","54.6","115.9"
"","Lindell Wigginton","Mil","G","26","3","2.5","38.9","15.5","2","1","3","0.667","2","0","0.4","0.51","2","0","0","0","0","0.3","2","2","2","0","0","0"
"","Ty Jerome","Cle","G-F","26.8","2","7.4","14.9","20","0","0","3","0.667","1","0","0.5","0.5","2","0.5","1.5","0","0","0.5","2.5","3.5","4","6.2","110.8","107.4"
"","Jordan Ford","Sac","G","25.9","6","3.6","17.4","11.8","2","1","4","0.5","3","0.667","0.714","0.761","2","0.3","0.3","0","0","0.2","2.3","2.3","2.7","6.3","0","0"
"","Jericho Sims","Nyk","C","25.5","44","12.8","6.1","22.8","22","0.636","54","0.704","0","0","0.704","0.707","2","3.3","0.5","0.2","0.4","0.4","5.3","2.6","5.8","4.7","135.4","108.3"
"","Isaiah Wong","Ind","G","23.2","1","4.3","29.3","0","0","0","2","0.5","1","0","0.333","0.333","2","0","0","0","0","0","2","2","2","0","69.5","128.8"
"","Colby Jones","Sac","G","21.9","27","6.5","18.5","9.6","7","0.286","45","0.511","21","0.095","0.394","0.391","2","1.4","0.7","0.3","0.1","0.3","3.4","2.7","4.1","7.7","95","103.2"
"","D'Moi Hodge","Lal","G","25.3","7","5.9","17.6","6.2","2","0.5","3","0.667","12","0.25","0.433","0.441","2","0","0.7","0.1","0.1","0.1","2","2.7","2.7","0","97","111.9"
"","Markquis Nowell","Tor","G","24.3","1","3.5","22.9","0","2","1","1","0","0","0","0","0.532","2","2","2","1","0","0","4","4","6","22.9","0","0"
"","Kevon Harris","Orl","G","26.8","2","3.1","28.7","25","0","0","3","0.667","0","0","0.667","0.667","2","1","0.5","0","0","0.5","3","2.5","3.5","12.9","0","0"
"","Taze Moore","Por","G","25.8","3","3.4","25.1","16.7","0","0","3","1","2","0","0.6","0.6","2","0","0.3","0.3","0","0.3","2","2.3","2.3","0","0","0"
"","Jason Preston","Uta","G","24.7","5","9.5","12.4","14.3","0","0","11","0.455","1","0","0.417","0.417","2","2.2","2.6","0.4","0","0.4","4.2","4.6","6.8","9.5","118.9","118.3"
"","Timmy Allen","Mem","F","24.2","1","26.1","11.5","14.3","0","0","3","0.333","3","0","0.167","0.167","2","2","0","0","0","1","4","2","4","0","31.6","114"
"","Cody Zeller","Nor","F-C","31.5","40","7.6","13.1","19.9","38","0.605","57","0.421","3","0.333","0.425","0.482","1.9","2.7","0.9","0.2","0.1","0.4","4.6","2.8","5.5","8.8","118.2","99.6"
"","Brandon Williams","Dal","G","24.4","13","4.6","22.1","11.4","11","0.545","16","0.375","7","0.286","0.391","0.431","1.8","0.5","0.9","0.1","0.1","0.2","2.4","2.8","3.3","8.1","103.8","118.4"
"","Kessler Edwards","Sac","F","23.7","52","5","14.3","3.6","9","0.556","29","0.483","52","0.385","0.543","0.547","1.8","0.8","0.3","0.2","0.1","0.1","2.6","2.1","2.8","6","117.3","108.9"
"","Mason Jones","Sac","G","25.7","4","5.5","17.3","12.2","2","0.5","1","0","6","0.333","0.429","0.444","1.8","1.3","1.3","0.3","0","0.3","3","3","4.3","10.5","111.1","112.3"
"","Shake Milton","Nyk","G-F","27.5","6","4.6","15.6","0","2","1","7","0.429","2","0.5","0.5","0.557","1.8","1","0.7","0.2","0","0","2.8","2.5","3.5","9.4","136.5","84.6"
"","Jalen Pickett","Den","G","24.5","25","4.8","16.7","20.3","4","0.75","10","0.6","25","0.36","0.557","0.571","1.7","0.6","0.8","0.2","0","0.4","2.2","2.5","3","7.8","108.4","106.1"
"","Daishen Nix","Min","G","22.1","13","3.5","25.7","11.9","4","0.25","7","0.429","15","0.333","0.477","0.463","1.7","0.2","0.4","0.4","0","0.2","1.8","2.1","2.2","5.9","0","0"
"","Jamaree Bouyea","Por","G","24.8","6","9.5","21.6","27.6","0","0","13","0.385","8","0","0.238","0.238","1.7","1.7","1.3","0","0","1.3","3.3","3","4.7","6.5","54.9","117.8"
"","Leonard Miller","Min","F","20.4","14","3.1","17.1","5.9","0","0","12","0.75","4","0.5","0.75","0.75","1.7","1.1","0.5","0.1","0.1","0.1","2.8","2.2","3.3","12.6","0","0"
"","Jermaine Samuels Jr.","Hou","F","25.4","12","4.5","10.8","0","2","1","11","0.818","2","0","0.692","0.72","1.7","1","0.2","0.1","0.1","0","2.7","1.8","2.8","6.2","154.5","109.5"
"","Jett Howard","Orl","G","20.6","15","3.5","22.8","7.6","4","0.5","5","0.6","19","0.316","0.5","0.505","1.7","0.4","0.2","0","0.1","0.1","2.1","1.9","2.3","5.9","0","0"
"","Kobe Brown","Lac","F","24.3","40","7.7","10.7","9.4","2","0.5","28","0.571","39","0.308","0.507","0.508","1.7","1.2","0.4","0.2","0.1","0.2","3","2.2","3.4","4.9","109.5","105.4"
"","Adama Sanogo","Chi","F","22.2","6","2.6","18.2","18.9","3","0.667","4","1","0","0","1","0.94","1.7","1.5","0","0","0","0.2","3.2","1.7","3.2","0","0","0"
"","Colin Castleton","Lal","C","23.9","14","4","14.5","18.2","6","1","13","0.615","0","0","0.615","0.703","1.6","0.8","0.2","0.1","0","0.2","2.4","1.8","2.6","6.3","132","100.7"
"","Jalen Hood-Schifino","Lal","G","20.8","21","5.2","24.9","16.6","20","0.6","30","0.267","15","0.133","0.244","0.316","1.6","0.6","0.4","0.1","0.1","0.4","2.2","2","2.6","5.6","66.3","106.7"
"","Seth Lundy","Atl","G","24","9","5.8","15.8","5.5","4","0.75","4","0.25","13","0.231","0.324","0.373","1.6","0.8","0","0","0","0.1","2.3","1.6","2.3","0","81.9","112.7"
"","Jordan Miller","Lac","G","24.2","8","3.5","17","9.6","2","1","7","0.571","2","0.5","0.611","0.658","1.6","0.6","0","0","0","0.1","2.3","1.6","2.3","0","0","0"
"","Keita Bates-Diop","Bro","F","28.2","14","4.8","13.2","10.8","6","1","11","0.636","5","0.2","0.531","0.617","1.6","0.6","0.3","0.2","0.1","0.1","2.3","1.9","2.6","5.5","123.5","116.4"
"","Filip Petrusev","Sac","C","24","2","3.3","18.7","0","2","0.5","2","0.5","0","0","0.5","0.521","1.5","0","0","0","0","0","1.5","1.5","1.5","0","0","0"
"","Isaiah Mobley","Cle","F","24.5","8","6.7","11.5","7.1","0","0","6","0.5","7","0.286","0.462","0.462","1.5","0.8","0.8","0.1","0","0.1","2.3","2.3","3","5.9","105.5","107.8"
"","Ibou Badji","Por","C","21.5","21","10.3","7.8","40.9","12","0.5","20","0.65","0","0","0.65","0.633","1.5","2.4","0.6","0.1","1","0.7","4","2.1","4.6","5","104.6","99.6"
"","Terry Taylor","Chi","F","24.5","31","6.1","11.3","15.1","5","0.8","30","0.6","9","0.222","0.538","0.558","1.5","1.2","0.3","0.2","0.1","0.2","2.7","1.8","3","5.3","116.1","111"
"","Josh Minott","Min","F","21.4","29","2.9","21.4","5.8","14","0.857","23","0.478","9","0.333","0.484","0.563","1.5","0.6","0.2","0.2","0.1","0.1","2.1","1.7","2.3","7.8","0","0"
"","Justin Minaya","Por","F","25","30","8.8","9.8","12.2","8","0.5","17","0.412","33","0.273","0.41","0.42","1.5","1.3","0.4","0.3","0.3","0.2","2.8","1.9","3.2","4.2","98.8","115"
"","Dariq Whitehead","Bro","F","19.7","2","12","10.6","0","2","0.5","2","0.5","3","0","0.2","0.255","1.5","2","1.5","0","0.5","0","3.5","3","5","5.5","83.5","121.1"
"","Skylar Mays","Lal","G","26.6","15","4.9","12.9","9.1","0","0","15","0.533","5","0.4","0.55","0.55","1.5","0.4","0.6","0.5","0.1","0.1","1.9","2.1","2.5","5.8","114.8","107.6"
"","Dylan Windler","Lal","G-F","27.5","8","3.5","14","0","0","0","1","0","8","0.5","0.667","0.667","1.5","0.4","0.8","0","0","0","1.9","2.3","2.6","8.9","0","0"
"","David Roddy","Pho","F","23","15","3.9","19","11.8","1","1","14","0.643","8","0.125","0.477","0.49","1.5","0.7","0.2","0.1","0","0.2","2.1","1.7","2.3","6.1","0","0"
"","P.J. Tucker","Lac","F","38.9","25","14.7","5.5","13.2","3","1","12","0.25","27","0.333","0.423","0.446","1.4","2.4","0.6","0.4","0.2","0.2","3.9","2","4.5","3.4","116.5","107.1"
"","Jacob Toppin","Nyk","F","23.9","9","4.2","12.3","9.6","2","1","5","0.8","4","0.25","0.611","0.658","1.4","0.8","0.3","0","0.1","0.1","2.2","1.8","2.6","6.6","138.7","110.3"
"","R.J. Hampton","Mia","G","23.2","8","9.5","10.5","17.4","2","0.5","6","0.5","8","0.125","0.321","0.336","1.3","0.8","1","0","0","0.4","2","2.3","3","4.3","84.6","108.1"
"","Jay Huff","Den","C","26.6","18","2.6","15.7","6.1","2","1","6","1","9","0.333","0.7","0.724","1.3","0.6","0.1","0.1","0.1","0.1","1.8","1.4","1.9","6.6","0","0"
"","Kendall Brown","Ind","G","20.9","13","3.9","12.9","8.1","8","0.625","10","0.6","1","0","0.545","0.585","1.3","0.3","0.3","0","0","0.1","1.6","1.6","1.9","5","0","0"
"","JD Davison","Bos","G","21.5","6","1.9","14.8","0","2","1","0","0","3","0.667","1","1.031","1.3","0.5","0.2","0","0","0","1.8","1.5","2","10.7","0","0"
"","Hunter Tyson","Den","F","23.8","15","2.9","20.8","9.5","0","0","6","0.667","13","0.308","0.526","0.526","1.3","0.6","0.1","0","0","0.1","1.9","1.5","2.1","5.9","0","0"
"","Nathan Mensah","Cha","C","26","25","12.3","6.8","33.1","12","0.75","28","0.429","0","0","0.429","0.496","1.3","2.6","0.4","0.2","0.6","0.6","3.9","1.7","4.3","3.6","103.1","100.7"
"","Theo Maledon","Pho","G","22.8","4","3.3","27.5","40.3","3","1","4","0.25","0","0","0.25","0.47","1.3","0.3","0","0","0","0.8","1.5","1.3","1.5","0","0","0"
"","Mike Muscala","Okc","F-C","32.8","12","4.5","14.2","5.9","1","0","7","0.857","9","0.111","0.469","0.456","1.3","0.9","0.2","0.1","0.1","0.1","2.2","1.4","2.3","5.5","100.7","112.3"
"","Isaiah Thomas","Pho","G","35.2","4","3.4","19","0","0","0","4","0.25","2","0.5","0.417","0.417","1.3","0","0.5","0","0","0","1.3","1.8","1.8","0","0","0"
"","Jerome Robinson","Gol","G","27.1","21","3.6","20.9","6","10","0.6","14","0.5","17","0.118","0.323","0.367","1.2","0.3","0.2","0","0.1","0.1","1.5","1.5","1.8","4.6","0","0"
"","Aleksej Pokusevski","Okc","F","22.3","10","6.1","14.9","15.6","4","0.5","5","0.4","11","0.182","0.313","0.338","1.2","1","0.5","0.1","0.1","0.3","2.2","1.7","2.7","5.5","78.8","110"
"","Keyontae Johnson","Okc","F","23.9","9","7.4","13.1","20","0","0","13","0.308","3","0.333","0.344","0.344","1.2","1.1","0.4","0.1","0","0.4","2.3","1.7","2.8","4.4","78.5","112.3"
"","Robin Lopez","Mil","C","36","16","4","14.5","9.3","2","1","11","0.455","8","0.25","0.421","0.453","1.1","0.3","0.3","0.1","0.2","0.1","1.4","1.4","1.7","4.6","100.1","111.2"
"","Xavier Moon","Lac","G","29.3","10","3.9","22.3","20.8","2","0.5","10","0.5","5","0","0.333","0.346","1.1","0.6","0.7","0.1","0.1","0.4","1.7","1.8","2.4","7.9","0","0"
"","Braxton Key","Den","F","27.1","19","3.1","15.4","5.5","6","0.667","12","0.417","5","0.4","0.471","0.509","1.1","0.8","0.5","0.1","0.1","0.1","1.9","1.5","2.4","9.8","0","0"
"","Chris Livingston","Mil","F","20.5","18","4.1","13.5","17.8","2","1","14","0.5","4","0.25","0.472","0.503","1.1","0.8","0.3","0.1","0","0.2","1.9","1.3","2.2","6.3","96.8","102"
